time,x[m],y[m],theta[deg]
1755227545.901,0.000,0.000,0.00
1755227546.201,0.000,0.000,0.00
1755227546.501,0.000,0.000,0.00
1755227546.802,0.000,0.000,0.00
1755227547.102,0.000,0.000,0.00
1755227547.402,0.000,0.000,0.00
1755227547.702,0.000,0.000,0.00
1755227548.002,0.000,0.000,0.00
1755227548.302,0.000,0.000,0.00
1755227548.601,0.000,0.000,0.00
1755227548.901,0.000,0.000,0.00
1755227549.201,0.000,0.000,0.00
1755227549.501,0.000,0.000,0.00
1755227549.802,0.000,0.000,0.00
1755227550.101,0.000,0.000,0.00
1755227550.401,0.000,0.000,0.00
1755227550.701,0.000,0.000,0.00
1755227551.001,0.000,0.000,0.00
1755227551.301,2.372,0.000,0.00
1755227551.601,4.743,0.000,0.00
1755227551.901,7.114,0.000,0.00
1755227552.201,9.486,0.000,0.00
1755227552.501,11.858,0.000,0.00
1755227552.801,14.230,0.000,0.00
1755227553.101,16.602,0.000,0.00
1755227553.401,18.973,0.000,0.00
1755227553.701,21.345,0.000,0.00
1755227554.001,23.717,0.000,0.00
1755227554.301,26.090,0.000,0.00
1755227554.601,28.463,0.000,0.00
1755227554.901,30.836,0.000,0.00
1755227555.201,33.209,0.000,0.00
1755227555.502,35.582,0.000,0.00
1755227555.801,37.940,0.000,0.00
1755227556.101,40.297,0.000,0.00
1755227556.401,42.654,0.000,0.00
1755227556.701,45.010,0.000,0.00
1755227557.001,47.367,0.000,0.00
1755227557.301,49.723,0.000,0.00
1755227557.601,52.079,0.000,0.00
1755227557.901,54.436,0.000,0.00
1755227558.201,56.792,0.000,0.00
1755227558.501,59.148,0.000,0.00
1755227558.801,61.519,0.000,0.00
1755227559.101,63.890,0.000,0.00
1755227559.401,66.261,0.000,0.00
1755227559.701,68.632,0.000,0.00
1755227560.001,71.006,0.000,0.00
1755227560.301,73.380,0.000,0.00
1755227560.602,75.753,0.000,0.00
1755227560.901,78.127,0.000,0.00
1755227561.201,80.500,0.000,0.00
1755227561.501,82.874,0.000,0.00
1755227561.801,85.247,0.000,0.00
1755227562.102,87.621,0.000,0.00
1755227562.401,89.977,0.000,0.00
1755227562.701,92.335,0.000,0.00
1755227563.001,94.692,0.000,0.00
1755227563.301,97.066,0.000,0.00
1755227563.601,99.440,0.000,0.00
1755227563.901,101.798,0.000,0.00
1755227564.201,104.156,0.000,0.00
1755227564.501,106.514,0.000,0.00
1755227564.801,108.886,0.000,0.00
1755227565.101,111.259,0.000,0.00
1755227565.401,113.634,0.000,0.00
1755227565.701,116.007,0.000,0.00
1755227566.001,118.380,0.000,0.00
1755227566.301,120.754,0.000,0.00
1755227566.601,123.128,0.000,0.00
1755227566.901,125.501,0.000,0.00
1755227567.201,127.875,0.000,0.00
1755227567.501,130.249,0.000,0.00
1755227567.801,132.623,0.000,0.00
1755227568.101,134.996,0.000,0.00
1755227568.401,137.370,0.000,0.00
1755227568.701,139.741,0.000,0.00
1755227569.001,142.111,0.000,0.00
1755227569.301,144.482,0.000,0.00
1755227569.601,146.853,0.000,0.00
1755227569.901,149.227,0.000,0.00
1755227570.201,151.585,0.000,0.00
1755227570.501,153.962,0.000,0.00
1755227570.801,156.339,0.000,0.00
1755227571.101,158.700,0.000,0.00
1755227571.401,161.058,0.000,0.00
1755227571.701,163.418,0.000,0.00
1755227572.001,165.777,0.000,0.00
1755227572.302,168.136,0.000,0.00
1755227572.601,170.496,0.000,0.00
1755227572.901,172.855,0.000,0.00
1755227573.201,175.214,0.000,0.00
1755227573.501,177.586,0.000,0.00
1755227573.801,179.957,0.000,0.00
1755227574.101,182.329,0.000,0.00
1755227574.401,184.700,0.000,0.00
1755227574.701,187.074,0.000,0.00
1755227575.001,189.447,0.000,0.00
1755227575.301,191.821,0.000,0.00
1755227575.601,194.194,0.000,0.00
1755227575.901,196.567,0.000,0.00
1755227576.201,198.942,0.000,0.00
1755227576.501,201.316,0.000,0.00
1755227576.801,203.691,0.000,0.00
1755227577.101,206.066,0.000,0.00
1755227577.401,208.443,0.000,0.00
1755227577.701,210.820,0.000,0.00
1755227578.001,213.196,0.000,0.00
1755227578.301,215.573,0.000,0.00
1755227578.601,217.950,0.000,0.00
1755227578.901,220.328,0.000,0.00
1755227579.201,222.705,0.000,0.00
