time,x[m],y[m],theta[deg]
1755575795.437,0.000,0.000,0.00
1755575795.737,0.000,0.000,0.00
1755575796.037,0.000,0.000,0.00
1755575796.338,0.000,0.000,0.00
1755575796.638,0.000,0.000,0.00
1755575796.938,0.000,0.000,0.00
1755575797.238,0.000,0.000,0.00
1755575797.538,0.000,0.000,0.00
1755575797.837,0.000,0.000,0.00
1755575798.137,0.000,0.000,0.00
1755575798.437,0.000,0.000,0.00
1755575798.737,0.000,0.000,0.00
1755575799.038,0.000,0.000,0.00
1755575799.338,0.000,0.000,0.00
1755575799.638,0.000,0.000,0.00
