time,x[m],y[m],theta[deg]
1755227681.921,0.000,0.000,0.00
1755227682.221,0.000,0.000,0.00
1755227682.521,0.000,0.000,0.00
1755227682.822,0.000,0.000,0.00
1755227683.122,0.000,0.000,0.00
1755227683.422,0.000,0.000,0.00
1755227683.722,0.000,0.000,0.00
1755227684.022,0.000,0.000,0.00
1755227684.322,0.000,0.000,0.00
1755227684.621,0.000,0.000,0.00
1755227684.921,0.000,0.000,0.00
1755227685.221,0.000,0.000,0.00
1755227685.522,0.000,0.000,0.00
1755227685.822,0.000,0.000,0.00
1755227686.122,0.000,0.000,0.00
1755227686.421,0.000,0.000,0.00
1755227686.722,0.000,0.000,0.00
1755227687.021,0.000,0.000,0.00
1755227687.321,2.364,0.000,0.00
1755227687.622,4.722,0.000,0.00
1755227687.921,7.086,0.000,0.00
1755227688.221,9.452,0.000,0.00
1755227688.522,11.818,0.000,0.00
1755227688.822,14.183,0.000,0.00
1755227689.122,16.549,0.000,0.00
1755227689.421,18.925,0.000,0.00
1755227689.721,21.300,0.000,0.00
1755227690.022,23.674,0.000,0.00
1755227690.321,26.048,0.000,0.00
1755227690.622,28.423,0.000,0.00
1755227690.922,30.797,0.000,0.00
1755227691.222,33.171,0.000,0.00
1755227691.521,35.545,0.000,0.00
1755227691.822,37.918,0.000,0.00
1755227692.121,40.291,0.000,0.00
1755227692.421,42.664,0.000,0.00
1755227692.721,45.037,0.000,0.00
1755227693.022,47.410,0.000,0.00
1755227693.322,49.783,0.000,0.00
1755227693.622,52.156,0.000,0.00
1755227693.922,54.529,0.000,0.00
1755227694.222,56.902,0.000,0.00
1755227694.521,59.275,0.000,0.00
1755227694.822,61.648,0.000,0.00
1755227695.122,64.021,0.000,0.00
1755227695.422,66.394,0.000,0.00
1755227695.722,68.769,0.000,0.00
1755227696.022,71.146,0.000,0.00
1755227696.322,73.523,0.000,0.00
1755227696.622,75.899,0.000,0.00
1755227696.921,78.273,0.000,0.00
1755227697.222,80.646,0.000,0.00
1755227697.521,83.019,0.000,0.00
1755227697.821,85.392,0.000,0.00
1755227698.121,87.766,0.000,0.00
1755227698.421,90.140,0.000,0.00
1755227698.722,92.515,0.000,0.00
1755227699.022,94.889,0.000,0.00
1755227699.322,97.264,0.000,0.00
1755227699.621,99.638,0.000,0.00
1755227699.921,102.012,0.000,0.00
1755227700.222,104.387,0.000,0.00
1755227700.522,106.761,0.000,0.00
1755227700.822,109.135,0.000,0.00
1755227701.122,111.510,0.000,0.00
1755227701.422,113.884,0.000,0.00
1755227701.721,116.261,0.000,0.00
1755227702.021,118.637,0.000,0.00
1755227702.321,121.013,0.000,0.00
1755227702.621,123.389,0.000,0.00
1755227702.921,125.765,0.000,0.00
1755227703.221,128.141,0.000,0.00
1755227703.521,130.517,0.000,0.00
1755227703.821,132.893,0.000,0.00
1755227704.122,135.269,0.000,0.00
1755227704.422,137.645,0.000,0.00
1755227704.721,140.021,0.000,0.00
1755227705.022,142.397,0.000,0.00
1755227705.321,144.769,0.000,0.00
1755227705.621,147.141,0.000,0.00
1755227705.922,149.514,0.000,0.00
1755227706.222,151.886,0.000,0.00
1755227706.522,154.259,0.000,0.00
1755227706.821,156.631,0.000,0.00
1755227707.122,159.004,0.000,0.00
1755227707.422,161.376,0.000,0.00
1755227707.722,163.749,0.000,0.00
1755227708.022,166.121,0.000,0.00
1755227708.321,168.494,0.000,0.00
1755227708.621,170.867,0.000,0.00
1755227708.921,173.240,0.000,0.00
1755227709.221,175.615,0.000,0.00
1755227709.521,177.991,0.000,0.00
1755227709.821,180.366,0.000,0.00
1755227710.121,182.742,0.000,0.00
1755227710.422,185.118,0.000,0.00
1755227710.722,187.493,0.000,0.00
1755227711.021,189.869,0.000,0.00
1755227711.321,192.244,0.000,0.00
