time,x[m],y[m],theta[deg]
1755576597.632,0.000,0.000,0.00
1755576597.932,0.000,0.000,0.00
1755576598.232,0.000,0.000,0.00
1755576598.532,0.000,0.000,0.00
1755576598.832,0.000,0.000,0.00
1755576599.132,0.000,0.000,0.00
1755576599.432,0.000,0.000,0.00
1755576599.732,0.000,0.000,0.00
1755576600.032,0.000,0.000,0.00
1755576600.332,0.000,0.000,0.00
1755576600.632,0.000,0.000,0.00
1755576600.932,0.000,0.000,0.00
1755576601.232,0.000,0.000,0.00
1755576601.532,0.000,0.000,0.00
1755576601.832,0.000,0.000,0.00
1755576602.132,0.000,0.000,0.00
1755576602.433,0.000,0.000,0.00
1755576602.732,0.000,0.000,0.00
1755576603.032,0.000,0.000,0.00
1755576603.332,0.000,0.000,0.00
1755576603.632,0.000,0.000,0.00
1755576603.933,0.000,0.000,0.00
1755576604.232,0.000,0.000,0.00
1755576604.532,0.000,0.000,0.00
1755576604.832,0.000,0.000,0.00
1755576605.133,0.000,0.000,0.00
1755576605.432,0.000,0.000,0.00
1755576605.732,0.000,0.000,0.00
1755576606.032,0.000,0.000,0.00
1755576606.333,0.000,0.000,0.00
1755576606.632,0.000,0.000,0.00
1755576606.932,0.000,0.000,0.00
1755576607.233,0.000,0.000,0.00
1755576607.533,0.000,0.000,0.00
1755576607.833,0.000,0.000,0.00
1755576608.132,0.000,0.000,0.00
1755576608.432,0.000,0.000,0.00
1755576608.732,0.000,0.000,0.00
1755576609.032,0.000,0.000,0.00
1755576609.332,0.000,0.000,0.00
1755576609.633,0.000,0.000,0.00
1755576609.932,0.000,0.000,0.00
1755576610.233,0.000,0.000,0.00
1755576610.532,0.000,0.000,0.00
1755576610.833,0.000,0.000,0.00
1755576611.132,0.000,0.000,0.00
1755576611.432,0.000,0.000,0.00
1755576611.733,0.000,0.000,0.00
1755576612.032,0.000,0.000,0.00
1755576612.333,0.000,0.000,0.00
1755576612.632,0.000,0.000,0.00
1755576612.932,0.000,0.000,0.00
1755576613.233,0.000,0.000,0.00
1755576613.532,0.000,0.000,0.00
1755576613.832,0.000,0.000,0.00
1755576614.132,0.000,0.000,0.00
1755576614.432,0.000,0.000,0.00
1755576614.733,0.000,0.000,0.00
1755576615.032,0.000,0.000,0.00
1755576615.332,0.000,0.000,0.00
1755576615.632,0.000,0.000,0.00
1755576615.932,0.000,0.000,0.00
1755576616.232,0.000,0.000,0.00
1755576616.532,0.000,0.000,0.00
1755576616.833,0.000,0.000,0.00
1755576617.133,0.000,0.000,0.00
1755576617.433,0.000,0.000,0.00
1755576617.732,0.000,0.000,0.00
1755576618.032,0.000,0.000,0.00
1755576618.332,0.000,0.000,0.00
1755576618.632,0.000,0.000,0.00
1755576618.932,0.000,0.000,0.00
1755576619.232,0.000,0.000,0.00
1755576619.533,0.000,0.000,0.00
1755576619.832,0.000,0.000,0.00
1755576620.132,0.000,0.000,0.00
1755576620.433,0.000,0.000,0.00
1755576620.732,0.000,0.000,0.00
1755576621.033,0.000,0.000,0.00
1755576621.332,0.000,0.000,0.00
1755576621.632,0.000,0.000,0.00
1755576621.932,0.000,0.000,0.00
1755576622.232,0.000,0.000,0.00
1755576622.532,0.000,0.000,0.00
1755576622.832,0.000,0.000,0.00
1755576623.132,0.000,0.000,0.00
1755576623.432,0.000,0.000,0.00
1755576623.732,0.000,0.000,0.00
1755576624.032,0.000,0.000,0.00
1755576624.333,0.000,0.000,0.00
1755576624.633,0.000,0.000,0.00
1755576624.933,0.000,0.000,0.00
1755576625.232,0.000,0.000,0.00
1755576625.533,0.000,0.000,0.00
1755576625.832,0.000,0.000,0.00
1755576626.132,0.000,0.000,0.00
1755576626.432,0.000,0.000,0.00
1755576626.733,0.000,0.000,0.00
1755576627.032,0.000,0.000,0.00
1755576627.332,0.000,0.000,0.00
1755576627.633,0.000,0.000,0.00
1755576627.932,0.000,0.000,0.00
1755576628.232,0.000,0.000,0.00
1755576628.532,0.000,0.000,0.00
1755576628.832,0.000,0.000,0.00
1755576629.133,0.000,0.000,0.00
1755576629.432,0.000,0.000,0.00
1755576629.733,0.000,0.000,0.00
1755576630.032,0.000,0.000,0.00
1755576630.333,0.000,0.000,0.00
1755576630.632,0.000,0.000,0.00
1755576630.932,0.000,0.000,0.00
1755576631.232,0.000,0.000,0.00
1755576631.532,0.000,0.000,0.00
1755576631.832,0.000,0.000,0.00
1755576632.133,0.000,0.000,0.00
1755576632.432,0.000,0.000,0.00
1755576632.732,0.000,0.000,0.00
1755576633.032,0.000,0.000,0.00
1755576633.332,0.000,0.000,0.00
1755576633.632,0.000,0.000,0.00
1755576633.932,0.000,0.000,0.00
1755576634.232,0.000,0.000,0.00
1755576634.532,0.000,0.000,0.00
1755576634.832,0.000,0.000,0.00
1755576635.132,0.000,0.000,0.00
1755576635.432,0.000,0.000,0.00
1755576635.732,0.000,0.000,0.00
1755576636.032,0.000,0.000,0.00
1755576636.333,0.000,0.000,0.00
1755576636.632,0.000,0.000,0.00
1755576636.933,0.000,0.000,0.00
1755576637.232,0.000,0.000,0.00
