time,x[m],y[m],theta[deg]
1755578746.331,0.000,0.000,0.00
1755578746.631,0.000,0.000,0.00
1755578746.931,0.000,0.000,0.00
1755578747.232,0.000,0.000,0.00
1755578747.532,0.000,0.000,0.00
1755578747.832,0.000,0.000,0.00
1755578748.132,0.000,0.000,0.00
1755578748.432,0.000,0.000,0.00
1755578748.732,0.000,0.000,0.00
1755578749.031,0.000,0.000,0.00
1755578749.331,0.000,0.000,0.00
1755578749.631,0.000,0.000,0.00
1755578749.932,0.000,0.000,0.00
1755578750.232,0.000,0.000,0.00
1755578750.532,0.000,0.000,0.00
1755578750.832,0.000,0.000,0.00
1755578751.132,0.000,0.000,0.00
1755578751.432,0.000,0.000,0.00
1755578751.732,0.000,0.000,0.00
1755578752.032,0.000,0.000,0.00
1755578752.332,0.000,0.000,0.00
1755578752.632,0.000,0.000,0.00
1755578752.932,0.000,0.000,0.00
1755578753.232,0.000,0.000,0.00
1755578753.531,0.000,0.000,0.00
1755578753.832,0.000,0.000,0.00
1755578754.131,0.000,0.000,0.00
1755578754.431,0.000,0.000,0.00
1755578754.731,0.000,0.000,0.00
1755578755.031,0.000,0.000,0.00
1755578755.331,0.000,0.000,0.00
1755578755.631,0.000,0.000,0.00
1755578755.932,0.000,0.000,0.00
1755578756.231,0.000,0.000,0.00
1755578756.532,0.000,0.000,0.00
1755578756.831,0.000,0.000,0.00
1755578757.131,0.000,0.000,0.00
1755578757.431,0.000,0.000,0.00
1755578757.731,0.000,0.000,0.00
1755578758.031,0.000,0.000,0.00
1755578758.331,0.000,0.000,0.00
1755578758.631,0.000,0.000,0.00
1755578758.931,0.000,0.000,0.00
1755578759.231,0.000,0.000,0.00
1755578759.531,0.000,0.000,0.00
1755578759.831,0.000,0.000,0.00
1755578760.131,0.000,0.000,0.00
1755578760.431,0.000,0.000,0.00
1755578760.731,0.000,0.000,0.00
1755578761.031,0.000,0.000,0.00
1755578761.331,0.000,0.000,0.00
1755578761.631,0.000,0.000,0.00
1755578761.931,0.000,0.000,0.00
1755578762.231,0.000,0.000,0.00
1755578762.531,0.000,0.000,0.00
1755578762.831,0.000,0.000,0.00
1755578763.131,0.000,0.000,0.00
1755578763.431,0.000,0.000,0.00
1755578763.731,0.000,0.000,0.00
1755578764.031,0.000,0.000,0.00
1755578764.331,0.000,0.000,0.00
1755578764.631,0.000,0.000,0.00
1755578764.931,0.000,0.000,0.00
1755578765.231,0.000,0.000,0.00
1755578765.531,0.000,0.000,0.00
1755578765.831,0.000,0.000,0.00
1755578766.131,0.000,0.000,0.00
1755578766.431,0.000,0.000,0.00
1755578766.731,0.000,0.000,0.00
1755578767.031,0.000,0.000,0.00
1755578767.331,0.000,0.000,0.00
1755578767.631,0.000,0.000,0.00
1755578767.931,0.000,0.000,0.00
1755578768.231,0.000,0.000,0.00
1755578768.531,0.000,0.000,0.00
1755578768.831,0.000,0.000,0.00
1755578769.131,0.000,0.000,0.00
1755578769.431,0.000,0.000,0.00
1755578769.731,0.000,0.000,0.00
1755578770.031,0.000,0.000,0.00
1755578770.331,0.000,0.000,0.00
1755578770.631,0.000,0.000,0.00
1755578770.931,0.000,0.000,0.00
1755578771.231,0.000,0.000,0.00
1755578771.531,0.000,0.000,0.00
1755578771.831,0.000,0.000,0.00
1755578772.131,0.000,0.000,0.00
1755578772.431,0.000,0.000,0.00
1755578772.731,0.000,0.000,0.00
1755578773.031,0.000,0.000,0.00
1755578773.331,0.000,0.000,0.00
1755578773.631,0.000,0.000,0.00
1755578773.931,0.000,0.000,0.00
1755578774.231,0.000,0.000,0.00
1755578774.531,0.000,0.000,0.00
1755578774.831,0.000,0.000,0.00
1755578775.131,0.000,0.000,0.00
1755578775.431,0.000,0.000,0.00
1755578775.731,0.000,0.000,0.00
1755578776.031,0.000,0.000,0.00
1755578776.331,0.000,0.000,0.00
1755578776.631,0.000,0.000,0.00
1755578776.931,0.000,0.000,0.00
1755578777.231,0.000,0.000,0.00
1755578777.531,0.000,0.000,0.00
1755578777.831,0.000,0.000,0.00
1755578778.131,0.000,0.000,0.00
1755578778.431,0.000,0.000,0.00
1755578778.732,0.000,0.000,0.00
1755578779.032,0.000,0.000,0.00
1755578779.331,0.000,0.000,0.00
1755578779.631,0.000,0.000,0.00
1755578779.931,0.000,0.000,0.00
1755578780.231,0.000,0.000,0.00
1755578780.531,0.000,0.000,0.00
1755578780.831,0.000,0.000,0.00
1755578781.131,0.000,0.000,0.00
1755578781.431,0.000,0.000,0.00
1755578781.731,0.000,0.000,0.00
1755578782.031,0.000,0.000,0.00
1755578782.331,0.000,0.000,0.00
1755578782.631,0.000,0.000,0.00
1755578782.931,0.000,0.000,0.00
1755578783.231,0.000,0.000,0.00
1755578783.531,0.000,0.000,0.00
1755578783.831,0.000,0.000,0.00
1755578784.131,0.000,0.000,0.00
1755578784.431,0.000,0.000,0.00
1755578784.731,0.000,0.000,0.00
1755578785.031,0.000,0.000,0.00
1755578785.331,0.000,0.000,0.00
1755578785.631,0.000,0.000,0.00
1755578785.931,0.000,0.000,0.00
1755578786.231,0.000,0.000,0.00
1755578786.531,0.000,0.000,0.00
1755578786.831,0.000,0.000,0.00
1755578787.131,0.000,0.000,0.00
1755578787.431,0.000,0.000,0.00
1755578787.731,0.000,0.000,0.00
1755578788.031,0.000,0.000,0.00
1755578788.331,0.000,0.000,0.00
1755578788.631,0.000,0.000,0.00
1755578788.931,0.000,0.000,0.00
