time,x[m],y[m],theta[deg]
1755227441.897,227.905,0.000,0.00
1755227442.197,230.266,0.000,0.00
1755227442.497,232.646,0.000,0.00
1755227442.797,235.027,0.000,0.00
1755227443.098,237.408,0.000,0.00
1755227443.398,239.788,0.000,0.00
1755227443.697,242.166,0.000,0.00
1755227443.997,244.545,0.000,0.00
1755227444.297,246.925,0.000,0.00
1755227444.597,249.305,0.000,0.00
1755227444.897,251.685,0.000,0.00
1755227445.197,254.065,0.000,0.00
1755227445.497,256.446,0.000,0.00
1755227445.797,258.827,0.000,0.00
1755227446.098,261.208,0.000,0.00
1755227446.398,263.589,0.000,0.00
1755227446.698,265.970,0.000,0.00
1755227446.997,268.351,0.000,0.00
1755227447.297,270.732,0.000,0.00
1755227447.598,273.113,0.000,0.00
1755227447.897,275.494,0.000,0.00
1755227448.197,277.875,0.000,0.00
1755227448.497,280.256,0.000,0.00
1755227448.797,282.637,0.000,0.00
1755227449.097,285.017,0.000,0.00
1755227449.397,287.398,0.000,0.00
1755227449.697,289.775,0.000,0.00
1755227449.997,292.153,0.000,0.00
1755227450.297,294.531,0.000,0.00
1755227450.597,296.910,0.000,0.00
1755227450.898,299.288,0.000,0.00
1755227451.198,301.666,0.000,0.00
1755227451.497,304.047,0.000,0.00
1755227451.797,306.428,0.000,0.00
1755227452.097,308.808,0.000,0.00
1755227452.397,311.189,0.000,0.00
1755227452.697,313.572,0.000,0.00
1755227452.997,315.955,0.000,0.00
1755227453.297,318.338,0.000,0.00
1755227453.597,320.716,0.000,0.00
1755227453.897,323.098,0.000,0.00
1755227454.197,325.480,0.000,0.00
1755227454.497,327.863,0.000,0.00
1755227454.797,330.245,0.000,0.00
1755227455.097,332.627,0.000,0.00
1755227455.397,335.008,0.000,0.00
1755227455.697,337.389,0.000,0.00
1755227455.997,339.769,0.000,0.00
1755227456.297,342.150,0.000,0.00
1755227456.597,344.526,0.000,0.00
1755227456.897,346.905,0.000,0.00
1755227457.197,349.287,0.000,0.00
1755227457.497,351.670,0.000,0.00
1755227457.797,354.052,0.000,0.00
1755227458.097,356.433,0.000,0.00
1755227458.397,358.813,0.000,0.00
1755227458.697,361.193,0.000,0.00
1755227458.997,363.573,0.000,0.00
1755227459.297,365.953,0.000,0.00
1755227459.597,368.333,0.000,0.00
1755227459.898,370.713,0.000,0.00
1755227460.197,373.093,0.000,0.00
1755227460.497,375.473,0.000,0.00
1755227460.797,377.853,0.000,0.00
1755227461.098,380.233,0.000,0.00
1755227461.397,382.616,0.000,0.00
1755227461.697,384.996,0.000,0.00
1755227461.997,387.377,0.000,0.00
1755227462.297,389.758,0.000,0.00
1755227462.597,392.140,0.000,0.00
1755227462.897,394.521,0.000,0.00
1755227463.197,396.882,0.000,0.00
1755227463.497,399.243,0.000,0.00
1755227463.797,401.604,0.000,0.00
1755227464.097,403.966,0.000,0.00
1755227464.397,406.327,0.000,0.00
1755227464.698,408.688,0.000,0.00
1755227464.997,411.049,0.000,0.00
1755227465.297,413.410,0.000,0.00
1755227465.597,415.772,0.000,0.00
1755227465.897,418.150,0.000,0.00
1755227466.197,420.529,0.000,0.00
1755227466.498,422.907,0.000,0.00
1755227466.797,425.286,0.000,0.00
1755227467.097,427.665,0.000,0.00
1755227467.397,430.050,0.000,0.00
1755227467.697,432.436,0.000,0.00
1755227467.997,434.821,0.000,0.00
1755227468.297,437.206,0.000,0.00
1755227468.597,439.592,0.000,0.00
1755227468.897,441.973,0.000,0.00
1755227469.197,444.354,0.000,0.00
1755227469.497,446.735,0.000,0.00
1755227469.797,449.116,0.000,0.00
1755227470.097,451.494,0.000,0.00
1755227470.397,453.873,0.000,0.00
1755227470.697,456.251,0.000,0.00
1755227470.997,458.630,0.000,0.00
1755227471.297,461.009,0.000,0.00
1755227471.597,463.388,0.000,0.00
1755227471.897,465.767,0.000,0.00
1755227472.197,468.145,0.000,0.00
1755227472.497,470.524,0.000,0.00
1755227472.797,472.902,0.000,0.00
1755227473.098,475.280,0.000,0.00
1755227473.397,477.660,0.000,0.00
1755227473.697,480.039,0.000,0.00
1755227473.997,482.416,0.000,0.00
1755227474.297,484.794,0.000,0.00
1755227474.597,487.171,0.000,0.00
1755227474.897,489.550,0.000,0.00
1755227475.197,491.928,0.000,0.00
1755227475.497,494.308,0.000,0.00
1755227475.797,496.686,0.000,0.00
1755227476.097,499.063,0.000,0.00
1755227476.397,501.440,0.000,0.00
1755227476.697,503.815,0.000,0.00
1755227476.997,506.193,0.000,0.00
1755227477.297,508.573,0.000,0.00
1755227477.597,510.953,0.000,0.00
1755227477.897,513.332,0.000,0.00
1755227478.197,515.711,0.000,0.00
1755227478.497,518.091,0.000,0.00
1755227478.797,520.452,0.000,0.00
1755227479.097,522.835,0.000,0.00
1755227479.397,525.218,0.000,0.00
1755227479.697,527.600,0.000,0.00
1755227479.997,529.981,0.000,0.00
1755227480.297,532.361,0.000,0.00
1755227480.597,534.722,0.000,0.00
1755227480.897,537.100,0.000,0.00
1755227481.197,539.479,0.000,0.00
1755227481.497,541.858,0.000,0.00
1755227481.798,544.220,0.000,0.00
1755227482.097,546.582,0.000,0.00
1755227482.397,548.945,0.000,0.00
1755227482.697,551.308,0.000,0.00
1755227482.997,553.672,0.000,0.00
1755227483.297,556.035,0.000,0.00
1755227483.597,558.399,0.000,0.00
1755227483.897,560.764,0.000,0.00
1755227484.197,563.127,0.000,0.00
1755227484.497,565.509,0.000,0.00
1755227484.797,567.890,0.000,0.00
1755227485.097,570.252,0.000,0.00
1755227485.397,572.614,0.000,0.00
1755227485.697,574.995,0.000,0.00
1755227485.997,577.376,0.000,0.00
1755227486.297,579.738,0.000,0.00
1755227486.597,582.100,0.000,0.00
1755227486.897,584.481,0.000,0.00
1755227487.197,586.862,0.000,0.00
1755227487.497,589.225,0.000,0.00
1755227487.797,591.589,0.000,0.00
1755227488.097,593.951,0.000,0.00
1755227488.397,596.315,0.000,0.00
1755227488.697,598.677,0.000,0.00
1755227488.997,601.039,0.000,0.00
1755227489.297,603.403,0.000,0.00
1755227489.597,605.765,0.000,0.00
1755227489.897,608.127,0.000,0.00
1755227490.197,610.490,0.000,0.00
1755227490.497,612.852,0.000,0.00
1755227490.797,615.214,0.000,0.00
1755227491.097,617.576,0.000,0.00
1755227491.397,619.938,0.000,0.00
1755227491.698,622.300,0.000,0.00
1755227491.997,624.662,0.000,0.00
1755227492.297,627.024,0.000,0.00
1755227492.597,629.387,0.000,0.00
1755227492.898,631.749,0.000,0.00
1755227493.197,634.111,0.000,0.00
1755227493.497,636.492,0.000,0.00
1755227493.797,638.874,0.000,0.00
1755227494.097,641.255,0.000,0.00
1755227494.397,643.634,0.000,0.00
1755227494.697,646.013,0.000,0.00
1755227494.997,648.391,0.000,0.00
1755227495.297,650.773,0.000,0.00
1755227495.597,653.156,0.000,0.00
1755227495.897,655.539,0.000,0.00
1755227496.197,657.921,0.000,0.00
1755227496.497,660.299,0.000,0.00
1755227496.797,662.677,0.000,0.00
1755227497.097,665.056,0.000,0.00
1755227497.397,667.434,0.000,0.00
1755227497.697,669.814,0.000,0.00
1755227497.997,672.194,0.000,0.00
1755227498.297,674.575,0.000,0.00
1755227498.597,676.955,0.000,0.00
1755227498.897,679.335,0.000,0.00
1755227499.197,681.699,0.000,0.00
