time,x[m],y[m],theta[deg]
1755227406.197,0.000,0.000,0.00
1755227406.497,0.000,0.000,0.00
1755227406.797,0.000,0.000,0.00
1755227407.098,0.000,0.000,0.00
1755227407.398,0.000,0.000,0.00
1755227407.698,0.000,0.000,0.00
1755227407.998,0.000,0.000,0.00
1755227408.298,0.000,0.000,0.00
1755227408.598,0.000,0.000,0.00
1755227408.897,0.000,0.000,0.00
1755227409.197,0.000,0.000,0.00
1755227409.497,0.000,0.000,0.00
1755227409.798,0.000,0.000,0.00
1755227410.098,0.000,0.000,0.00
1755227410.397,0.000,0.000,0.00
1755227410.697,0.000,0.000,0.00
1755227410.997,0.000,0.000,0.00
1755227411.297,0.000,0.000,0.00
1755227411.597,0.000,0.000,0.00
1755227411.897,0.000,0.000,0.00
1755227412.197,0.000,0.000,0.00
1755227412.497,0.000,0.000,0.00
1755227412.797,0.000,0.000,0.00
1755227413.097,0.000,0.000,0.00
1755227413.397,2.374,0.000,0.00
1755227413.697,4.748,0.000,0.00
1755227413.997,7.122,0.000,0.00
1755227414.298,9.495,0.000,0.00
1755227414.598,11.869,0.000,0.00
1755227414.897,14.242,0.000,0.00
1755227415.197,16.615,0.000,0.00
1755227415.497,18.987,0.000,0.00
1755227415.797,21.360,0.000,0.00
1755227416.097,23.732,0.000,0.00
1755227416.397,26.105,0.000,0.00
1755227416.697,28.480,0.000,0.00
1755227416.997,30.856,0.000,0.00
1755227417.297,33.233,0.000,0.00
1755227417.597,35.610,0.000,0.00
1755227417.897,37.988,0.000,0.00
1755227418.198,40.365,0.000,0.00
1755227418.497,42.727,0.000,0.00
1755227418.797,45.105,0.000,0.00
1755227419.097,47.490,0.000,0.00
1755227419.397,49.872,0.000,0.00
1755227419.697,52.232,0.000,0.00
1755227419.997,54.590,0.000,0.00
1755227420.297,56.950,0.000,0.00
1755227420.597,59.310,0.000,0.00
1755227420.897,61.670,0.000,0.00
1755227421.197,64.030,0.000,0.00
1755227421.497,66.390,0.000,0.00
1755227421.797,68.749,0.000,0.00
1755227422.097,71.108,0.000,0.00
1755227422.397,73.468,0.000,0.00
1755227422.697,75.828,0.000,0.00
1755227422.997,78.187,0.000,0.00
1755227423.297,80.547,0.000,0.00
1755227423.597,82.907,0.000,0.00
1755227423.898,85.267,0.000,0.00
1755227424.198,87.627,0.000,0.00
1755227424.497,89.987,0.000,0.00
1755227424.798,92.347,0.000,0.00
1755227425.097,94.706,0.000,0.00
1755227425.397,97.083,0.000,0.00
1755227425.697,99.460,0.000,0.00
1755227425.997,101.836,0.000,0.00
1755227426.297,104.214,0.000,0.00
1755227426.597,106.590,0.000,0.00
1755227426.897,108.966,0.000,0.00
1755227427.197,111.343,0.000,0.00
1755227427.498,113.719,0.000,0.00
1755227427.797,116.095,0.000,0.00
1755227428.097,118.472,0.000,0.00
1755227428.397,120.849,0.000,0.00
1755227428.697,123.226,0.000,0.00
1755227428.997,125.603,0.000,0.00
1755227429.297,127.979,0.000,0.00
1755227429.598,130.356,0.000,0.00
1755227429.897,132.742,0.000,0.00
1755227430.197,135.129,0.000,0.00
1755227430.497,137.512,0.000,0.00
1755227430.797,139.895,0.000,0.00
1755227431.097,142.278,0.000,0.00
1755227431.398,144.662,0.000,0.00
1755227431.698,147.045,0.000,0.00
1755227431.997,149.426,0.000,0.00
1755227432.297,151.807,0.000,0.00
1755227432.597,154.189,0.000,0.00
1755227432.898,156.570,0.000,0.00
1755227433.197,158.951,0.000,0.00
1755227433.497,161.333,0.000,0.00
1755227433.797,163.714,0.000,0.00
1755227434.097,166.095,0.000,0.00
1755227434.398,168.477,0.000,0.00
1755227434.698,170.858,0.000,0.00
1755227434.998,173.239,0.000,0.00
1755227435.297,175.625,0.000,0.00
1755227435.597,178.011,0.000,0.00
1755227435.897,180.397,0.000,0.00
1755227436.197,182.783,0.000,0.00
1755227436.497,185.165,0.000,0.00
1755227436.797,187.546,0.000,0.00
1755227437.097,189.926,0.000,0.00
1755227437.397,192.307,0.000,0.00
1755227437.697,194.686,0.000,0.00
1755227437.997,197.066,0.000,0.00
1755227438.297,199.445,0.000,0.00
1755227438.597,201.824,0.000,0.00
1755227438.897,204.203,0.000,0.00
1755227439.197,206.582,0.000,0.00
1755227439.497,208.961,0.000,0.00
1755227439.797,211.340,0.000,0.00
1755227440.097,213.719,0.000,0.00
1755227440.397,216.098,0.000,0.00
1755227440.697,218.459,0.000,0.00
1755227440.997,220.821,0.000,0.00
1755227441.297,223.182,0.000,0.00
1755227441.597,225.543,0.000,0.00
