time,x[m],y[m],theta[deg]
1755578212.475,0.000,0.000,0.00
1755578212.775,0.000,0.000,0.00
1755578213.075,0.000,0.000,0.00
1755578213.376,0.000,0.000,0.00
1755578213.676,0.000,0.000,0.00
1755578213.976,0.000,0.000,0.00
1755578214.276,0.000,0.000,0.00
1755578214.576,0.000,0.000,0.00
1755578214.876,0.000,0.000,0.00
1755578215.175,0.000,0.000,0.00
1755578215.475,0.000,0.000,0.00
1755578215.775,0.000,0.000,0.00
1755578216.076,0.000,0.000,0.00
1755578216.376,0.000,0.000,0.00
1755578216.676,0.000,0.000,0.00
1755578216.976,0.000,0.000,0.00
1755578217.276,0.000,0.000,0.00
1755578217.576,0.000,0.000,0.00
1755578217.876,0.000,0.000,0.00
1755578218.176,0.000,0.000,0.00
1755578218.476,0.000,0.000,0.00
1755578218.776,0.000,0.000,0.00
1755578219.076,0.000,0.000,0.00
1755578219.376,0.000,0.000,0.00
1755578219.676,0.000,0.000,0.00
1755578219.976,0.000,0.000,0.00
1755578220.276,0.000,0.000,0.00
1755578220.576,0.000,0.000,0.00
1755578220.875,0.000,0.000,0.00
1755578221.176,0.000,0.000,0.00
1755578221.476,0.000,0.000,0.00
1755578221.776,0.000,0.000,0.00
1755578222.076,0.000,0.000,0.00
1755578222.376,0.000,0.000,0.00
1755578222.676,0.000,0.000,0.00
1755578222.976,0.000,0.000,0.00
1755578223.276,0.000,0.000,0.00
1755578223.576,0.000,0.000,0.00
1755578223.876,0.000,0.000,0.00
1755578224.176,0.000,0.000,0.00
1755578224.476,0.000,0.000,0.00
1755578224.776,0.000,0.000,0.00
1755578225.076,0.000,0.000,0.00
1755578225.376,0.000,0.000,0.00
1755578225.676,0.000,0.000,0.00
1755578225.976,0.000,0.000,0.00
1755578226.276,0.000,0.000,0.00
1755578226.576,0.000,0.000,0.00
1755578226.876,0.000,0.000,0.00
1755578227.176,0.000,0.000,0.00
1755578227.476,0.000,0.000,0.00
1755578227.776,0.000,0.000,0.00
1755578228.076,0.000,0.000,0.00
1755578228.376,0.000,0.000,0.00
1755578228.676,0.000,0.000,0.00
1755578228.976,0.000,0.000,0.00
1755578229.276,0.000,0.000,0.00
1755578229.576,0.000,0.000,0.00
1755578229.876,0.000,0.000,0.00
1755578230.176,0.000,0.000,0.00
1755578230.476,0.000,0.000,0.00
1755578230.776,0.000,0.000,0.00
1755578231.075,0.000,0.000,0.00
1755578231.375,0.000,0.000,0.00
1755578231.676,0.000,0.000,0.00
1755578231.975,0.000,0.000,0.00
1755578232.276,0.000,0.000,0.00
1755578232.576,0.000,0.000,0.00
1755578232.876,0.000,0.000,0.00
1755578233.176,0.000,0.000,0.00
1755578233.476,0.000,0.000,0.00
1755578233.776,0.000,0.000,0.00
1755578234.076,0.000,0.000,0.00
1755578234.376,0.000,0.000,0.00
1755578234.675,0.000,0.000,0.00
1755578234.975,0.000,0.000,0.00
1755578235.275,0.000,0.000,0.00
1755578235.576,0.000,0.000,0.00
1755578235.876,0.000,0.000,0.00
1755578236.175,0.000,0.000,0.00
1755578236.475,0.000,0.000,0.00
1755578236.775,0.000,0.000,0.00
1755578237.075,0.000,0.000,0.00
1755578237.375,0.000,0.000,0.00
1755578237.676,0.000,0.000,0.00
1755578237.975,0.000,0.000,0.00
1755578238.275,0.000,0.000,0.00
1755578238.575,0.000,0.000,0.00
1755578238.875,0.000,0.000,0.00
1755578239.176,0.000,0.000,0.00
1755578239.476,0.000,0.000,0.00
1755578239.776,0.000,0.000,0.00
1755578240.075,0.000,0.000,0.00
1755578240.375,0.000,0.000,0.00
1755578240.675,0.000,0.000,0.00
1755578240.975,0.000,0.000,0.00
1755578241.275,0.000,0.000,0.00
1755578241.575,0.000,0.000,0.00
1755578241.875,0.000,0.000,0.00
1755578242.175,0.000,0.000,0.00
1755578242.475,0.000,0.000,0.00
1755578242.775,0.000,0.000,0.00
1755578243.075,0.000,0.000,0.00
1755578243.375,0.000,0.000,0.00
1755578243.675,0.000,0.000,0.00
1755578243.975,0.000,0.000,0.00
1755578244.275,0.000,0.000,0.00
1755578244.576,0.000,0.000,0.00
1755578244.876,0.000,0.000,0.00
1755578245.175,0.000,0.000,0.00
1755578245.475,0.000,0.000,0.00
1755578245.775,0.000,0.000,0.00
1755578246.075,0.000,0.000,0.00
1755578246.375,0.000,0.000,0.00
1755578246.675,0.000,0.000,0.00
1755578246.975,0.000,0.000,0.00
1755578247.275,0.000,0.000,0.00
1755578247.575,0.000,0.000,0.00
1755578247.875,0.000,0.000,0.00
1755578248.175,0.000,0.000,0.00
1755578248.475,0.000,0.000,0.00
1755578248.775,0.000,0.000,0.00
1755578249.075,0.000,0.000,0.00
1755578249.375,0.000,0.000,0.00
1755578249.675,0.000,0.000,0.00
1755578249.975,0.000,0.000,0.00
1755578250.275,0.000,0.000,0.00
1755578250.575,0.000,0.000,0.00
1755578250.875,0.000,0.000,0.00
1755578251.176,0.000,0.000,0.00
1755578251.476,0.000,0.000,0.00
1755578251.775,0.000,0.000,0.00
1755578252.075,0.000,0.000,0.00
1755578252.375,0.000,0.000,0.00
1755578252.675,0.000,0.000,0.00
1755578252.975,0.000,0.000,0.00
1755578253.275,0.000,0.000,0.00
1755578253.575,0.000,0.000,0.00
1755578253.875,0.000,0.000,0.00
1755578254.175,0.000,0.000,0.00
1755578254.475,0.000,0.000,0.00
1755578254.775,0.000,0.000,0.00
1755578255.075,0.000,0.000,0.00
1755578255.375,0.000,0.000,0.00
1755578255.675,0.000,0.000,0.00
1755578255.975,0.000,0.000,0.00
1755578256.275,0.000,0.000,0.00
1755578256.575,0.000,0.000,0.00
1755578256.875,0.000,0.000,0.00
1755578257.175,0.000,0.000,0.00
1755578257.475,0.000,0.000,0.00
