time,x[m],y[m],theta[deg]
1755578691.209,0.000,0.000,0.00
1755578691.509,0.000,0.000,0.00
1755578691.809,0.000,0.000,0.00
1755578692.110,0.000,0.000,0.00
1755578692.410,0.000,0.000,0.00
1755578692.710,0.000,0.000,0.00
1755578693.009,0.000,0.000,0.00
1755578693.309,0.000,0.000,0.00
1755578693.610,0.000,0.000,0.00
1755578693.909,0.000,0.000,0.00
1755578694.209,0.000,0.000,0.00
1755578694.509,0.000,0.000,0.00
1755578694.809,0.000,0.000,0.00
1755578695.109,0.000,0.000,0.00
1755578695.409,0.000,0.000,0.00
1755578695.709,0.000,0.000,0.00
1755578696.010,0.000,0.000,0.00
1755578696.309,0.000,0.000,0.00
1755578696.610,0.000,0.000,0.00
1755578696.909,0.000,0.000,0.00
1755578697.209,0.000,0.000,0.00
1755578697.510,0.000,0.000,0.00
1755578697.809,0.000,0.000,0.00
1755578698.109,0.000,0.000,0.00
1755578698.409,0.000,0.000,0.00
1755578698.709,0.000,0.000,0.00
1755578699.009,0.000,0.000,0.00
1755578699.309,0.000,0.000,0.00
1755578699.609,0.000,0.000,0.00
1755578699.909,0.000,0.000,0.00
1755578700.210,0.000,0.000,0.00
1755578700.510,0.000,0.000,0.00
1755578700.809,0.000,0.000,0.00
1755578701.109,0.000,0.000,0.00
1755578701.410,0.000,0.000,0.00
1755578701.710,0.000,0.000,0.00
1755578702.010,0.000,0.000,0.00
1755578702.310,0.000,0.000,0.00
1755578702.610,0.000,0.000,0.00
1755578702.910,0.000,0.000,0.00
1755578703.209,0.000,0.000,0.00
1755578703.510,0.000,0.000,0.00
1755578703.809,0.000,0.000,0.00
1755578704.110,0.000,0.000,0.00
1755578704.410,0.000,0.000,0.00
1755578704.710,0.000,0.000,0.00
1755578705.010,0.000,0.000,0.00
1755578705.309,0.000,0.000,0.00
1755578705.610,0.000,0.000,0.00
1755578705.910,0.000,0.000,0.00
1755578706.209,0.000,0.000,0.00
1755578706.510,0.000,0.000,0.00
1755578706.809,0.000,0.000,0.00
1755578707.109,0.000,0.000,0.00
1755578707.409,0.000,0.000,0.00
1755578707.709,0.000,0.000,0.00
1755578708.009,0.000,0.000,0.00
1755578708.309,0.000,0.000,0.00
