time,x[m],y[m],theta[deg]
1755227350.114,0.000,0.000,0.00
1755227350.414,0.000,0.000,0.00
1755227350.714,0.000,0.000,0.00
1755227351.014,0.000,0.000,0.00
1755227351.315,0.000,0.000,0.00
1755227351.614,0.000,0.000,0.00
1755227351.914,0.000,0.000,0.00
1755227352.214,0.000,0.000,0.00
1755227352.514,0.000,0.000,0.00
1755227352.814,0.000,0.000,0.00
1755227353.114,0.000,0.000,0.00
1755227353.414,0.000,0.000,0.00
1755227353.714,0.000,0.000,0.00
1755227354.014,0.000,0.000,0.00
1755227354.314,0.000,0.000,0.00
1755227354.614,0.000,0.000,0.00
1755227354.914,0.000,0.000,0.00
1755227355.214,0.000,0.000,0.00
1755227355.514,0.000,0.000,0.00
1755227355.814,0.000,0.000,0.00
1755227356.114,0.000,0.000,0.00
1755227356.414,0.000,0.000,0.00
1755227356.714,0.000,0.000,0.00
1755227357.014,2.378,0.000,0.00
1755227357.314,4.756,0.000,0.00
1755227357.614,7.134,0.000,0.00
1755227357.914,9.512,0.000,0.00
1755227358.214,11.890,0.000,0.00
1755227358.514,14.268,0.000,0.00
1755227358.814,16.646,0.000,0.00
1755227359.114,19.024,0.000,0.00
1755227359.414,21.402,0.000,0.00
1755227359.714,23.780,0.000,0.00
1755227360.014,26.158,0.000,0.00
1755227360.314,28.536,0.000,0.00
1755227360.614,30.914,0.000,0.00
1755227360.914,33.292,0.000,0.00
1755227361.214,35.670,0.000,0.00
1755227361.514,38.048,0.000,0.00
1755227361.814,40.426,0.000,0.00
1755227362.114,42.804,0.000,0.00
1755227362.414,45.182,0.000,0.00
1755227362.714,47.558,0.000,0.00
1755227363.014,49.933,0.000,0.00
1755227363.314,52.309,0.000,0.00
1755227363.614,54.684,0.000,0.00
1755227363.914,57.062,0.000,0.00
1755227364.214,59.440,0.000,0.00
1755227364.514,61.818,0.000,0.00
1755227364.814,64.196,0.000,0.00
1755227365.114,66.574,0.000,0.00
1755227365.414,68.951,0.000,0.00
1755227365.714,71.331,0.000,0.00
1755227366.014,73.714,0.000,0.00
1755227366.314,76.070,0.000,0.00
1755227366.614,78.427,0.000,0.00
1755227366.914,80.784,0.000,0.00
1755227367.214,83.141,0.000,0.00
1755227367.514,85.498,0.000,0.00
1755227367.814,87.879,0.000,0.00
1755227368.114,90.260,0.000,0.00
1755227368.414,92.641,0.000,0.00
1755227368.714,95.022,0.000,0.00
1755227369.014,97.403,0.000,0.00
1755227369.314,99.784,0.000,0.00
1755227369.614,102.168,0.000,0.00
1755227369.914,104.548,0.000,0.00
1755227370.214,106.928,0.000,0.00
1755227370.514,109.307,0.000,0.00
1755227370.814,111.687,0.000,0.00
1755227371.114,114.066,0.000,0.00
1755227371.414,116.446,0.000,0.00
1755227371.714,118.824,0.000,0.00
1755227372.014,121.203,0.000,0.00
1755227372.314,123.585,0.000,0.00
1755227372.614,125.965,0.000,0.00
1755227372.915,128.346,0.000,0.00
1755227373.214,130.726,0.000,0.00
1755227373.514,133.106,0.000,0.00
1755227373.815,135.488,0.000,0.00
1755227374.114,137.869,0.000,0.00
1755227374.414,140.250,0.000,0.00
1755227374.714,142.607,0.000,0.00
1755227375.014,144.964,0.000,0.00
1755227375.315,147.321,0.000,0.00
1755227375.614,149.679,0.000,0.00
1755227375.914,152.037,0.000,0.00
1755227376.214,154.395,0.000,0.00
1755227376.514,156.753,0.000,0.00
1755227376.814,159.110,0.000,0.00
1755227377.114,161.490,0.000,0.00
1755227377.414,163.868,0.000,0.00
1755227377.714,166.247,0.000,0.00
1755227378.014,168.626,0.000,0.00
1755227378.314,171.005,0.000,0.00
1755227378.614,173.384,0.000,0.00
1755227378.914,175.760,0.000,0.00
1755227379.214,178.136,0.000,0.00
1755227379.514,180.513,0.000,0.00
1755227379.814,182.891,0.000,0.00
1755227380.114,185.269,0.000,0.00
1755227380.414,187.647,0.000,0.00
1755227380.714,190.026,0.000,0.00
1755227381.014,192.408,0.000,0.00
1755227381.314,194.791,0.000,0.00
1755227381.614,197.173,0.000,0.00
1755227381.914,199.555,0.000,0.00
1755227382.214,201.936,0.000,0.00
1755227382.514,204.318,0.000,0.00
1755227382.814,206.676,0.000,0.00
1755227383.114,209.033,0.000,0.00
1755227383.414,211.391,0.000,0.00
1755227383.714,213.750,0.000,0.00
1755227384.014,216.109,0.000,0.00
1755227384.314,218.469,0.000,0.00
1755227384.614,220.828,0.000,0.00
1755227384.914,223.187,0.000,0.00
1755227385.215,225.547,0.000,0.00
1755227385.514,227.906,0.000,0.00
1755227385.814,230.266,0.000,0.00
1755227386.114,232.625,0.000,0.00
1755227386.414,234.985,0.000,0.00
1755227386.715,237.369,0.000,0.00
1755227387.014,239.753,0.000,0.00
1755227387.314,242.136,0.000,0.00
1755227387.614,244.513,0.000,0.00
1755227387.914,246.889,0.000,0.00
1755227388.214,249.265,0.000,0.00
1755227388.514,251.642,0.000,0.00
1755227388.814,254.026,0.000,0.00
1755227389.114,256.411,0.000,0.00
1755227389.414,258.795,0.000,0.00
1755227389.714,261.178,0.000,0.00
1755227390.014,263.558,0.000,0.00
1755227390.314,265.936,0.000,0.00
1755227390.614,268.315,0.000,0.00
1755227390.914,270.694,0.000,0.00
1755227391.214,273.070,0.000,0.00
1755227391.514,275.446,0.000,0.00
1755227391.814,277.822,0.000,0.00
1755227392.114,280.199,0.000,0.00
1755227392.414,282.575,0.000,0.00
1755227392.714,284.951,0.000,0.00
1755227393.014,287.327,0.000,0.00
1755227393.314,289.703,0.000,0.00
