time,x[m],y[m],theta[deg]
1755575752.551,0.000,0.000,0.00
1755575752.851,0.000,0.000,0.00
1755575753.151,0.000,0.000,0.00
1755575753.452,0.000,0.000,0.00
1755575753.752,0.000,0.000,0.00
1755575754.052,0.000,0.000,0.00
1755575754.352,0.000,0.000,0.00
1755575754.652,0.000,0.000,0.00
1755575754.952,0.000,0.000,0.00
1755575755.251,0.000,0.000,0.00
1755575755.551,0.000,0.000,0.00
1755575755.851,0.000,0.000,0.00
1755575756.152,0.000,0.000,0.00
1755575756.452,0.000,0.000,0.00
1755575756.751,0.000,0.000,0.00
1755575757.052,0.000,0.000,0.00
1755575757.352,0.000,0.000,0.00
1755575757.652,0.000,0.000,0.00
1755575757.951,0.000,0.000,0.00
1755575758.252,0.000,0.000,0.00
1755575758.552,0.000,0.000,0.00
1755575758.852,0.000,0.000,0.00
1755575759.151,0.000,0.000,0.00
1755575759.451,0.000,0.000,0.00
1755575759.752,0.000,0.000,0.00
1755575760.051,0.000,0.000,0.00
1755575760.351,0.000,0.000,0.00
1755575760.652,0.000,0.000,0.00
1755575760.952,0.000,0.000,0.00
1755575761.252,0.000,0.000,0.00
1755575761.552,0.000,0.000,0.00
1755575761.852,0.000,0.000,0.00
1755575762.152,0.000,0.000,0.00
1755575762.452,0.000,0.000,0.00
1755575762.752,0.000,0.000,0.00
1755575763.052,0.000,0.000,0.00
1755575763.352,0.000,0.000,0.00
1755575763.652,0.000,0.000,0.00
1755575763.951,0.000,0.000,0.00
1755575764.252,0.000,0.000,0.00
1755575764.551,0.000,0.000,0.00
1755575764.852,0.000,0.000,0.00
1755575765.152,0.000,0.000,0.00
1755575765.452,0.000,0.000,0.00
1755575765.752,0.000,0.000,0.00
1755575766.052,0.000,0.000,0.00
1755575766.352,0.000,0.000,0.00
1755575766.652,0.000,0.000,0.00
1755575766.952,0.000,0.000,0.00
1755575767.252,0.000,0.000,0.00
1755575767.552,0.000,0.000,0.00
1755575767.852,0.000,0.000,0.00
1755575768.152,0.000,0.000,0.00
1755575768.452,0.000,0.000,0.00
1755575768.752,0.000,0.000,0.00
1755575769.051,0.000,0.000,0.00
1755575769.351,0.000,0.000,0.00
1755575769.652,0.000,0.000,0.00
1755575769.952,0.000,0.000,0.00
1755575770.251,0.000,0.000,0.00
1755575770.552,0.000,0.000,0.00
1755575770.852,0.000,0.000,0.00
1755575771.151,0.000,0.000,0.00
1755575771.452,0.000,0.000,0.00
1755575771.751,0.000,0.000,0.00
1755575772.052,0.000,0.000,0.00
1755575772.351,0.000,0.000,0.00
1755575772.652,0.000,0.000,0.00
1755575772.952,0.000,0.000,0.00
1755575773.251,0.000,0.000,0.00
1755575773.552,0.000,0.000,0.00
1755575773.852,0.000,0.000,0.00
1755575774.152,0.000,0.000,0.00
1755575774.452,0.000,0.000,0.00
1755575774.752,0.000,0.000,0.00
1755575775.052,0.000,0.000,0.00
1755575775.352,0.000,0.000,0.00
1755575775.652,0.000,0.000,0.00
1755575775.952,0.000,0.000,0.00
1755575776.252,0.000,0.000,0.00
1755575776.552,0.000,0.000,0.00
1755575776.852,0.000,0.000,0.00
1755575777.151,0.000,0.000,0.00
1755575777.452,0.000,0.000,0.00
1755575777.752,0.000,0.000,0.00
1755575778.051,0.000,0.000,0.00
1755575778.352,0.000,0.000,0.00
1755575778.652,0.000,0.000,0.00
1755575778.952,0.000,0.000,0.00
1755575779.251,0.000,0.000,0.00
1755575779.552,0.000,0.000,0.00
1755575779.852,0.000,0.000,0.00
1755575780.152,0.000,0.000,0.00
1755575780.451,0.000,0.000,0.00
1755575780.751,0.000,0.000,0.00
1755575781.052,0.000,0.000,0.00
1755575781.352,0.000,0.000,0.00
1755575781.652,0.000,0.000,0.00
1755575781.952,0.000,0.000,0.00
1755575782.252,0.000,0.000,0.00
1755575782.551,0.000,0.000,0.00
1755575782.852,0.000,0.000,0.00
1755575783.152,0.000,0.000,0.00
1755575783.452,0.000,0.000,0.00
1755575783.751,0.000,0.000,0.00
1755575784.052,0.000,0.000,0.00
1755575784.352,0.000,0.000,0.00
1755575784.652,0.000,0.000,0.00
1755575784.952,0.000,0.000,0.00
1755575785.252,0.000,0.000,0.00
1755575785.551,0.000,0.000,0.00
1755575785.852,0.000,0.000,0.00
1755575786.152,0.000,0.000,0.00
1755575786.452,0.000,0.000,0.00
1755575786.752,0.000,0.000,0.00
1755575787.052,0.000,0.000,0.00
1755575787.352,0.000,0.000,0.00
1755575787.652,0.000,0.000,0.00
1755575787.952,0.000,0.000,0.00
1755575788.252,0.000,0.000,0.00
1755575788.551,0.000,0.000,0.00
1755575788.852,0.000,0.000,0.00
1755575789.152,0.000,0.000,0.00
1755575789.451,0.000,0.000,0.00
