time,x[m],y[m],theta[deg]
1755577688.903,0.000,0.000,0.00
1755577689.203,0.000,0.000,0.00
1755577689.503,0.000,0.000,0.00
1755577689.804,0.000,0.000,0.00
1755577690.104,0.000,0.000,0.00
1755577690.403,0.000,0.000,0.00
1755577690.704,0.000,0.000,0.00
1755577691.003,0.000,0.000,0.00
1755577691.304,0.000,0.000,0.00
1755577691.603,0.000,0.000,0.00
1755577691.903,0.000,0.000,0.00
1755577692.203,0.000,0.000,0.00
1755577692.503,0.000,0.000,0.00
1755577692.804,0.000,0.000,0.00
1755577693.104,0.000,0.000,0.00
1755577693.403,0.000,0.000,0.00
1755577693.704,0.000,0.000,0.00
1755577694.004,0.000,0.000,0.00
1755577694.304,0.000,0.000,0.00
1755577694.604,0.000,0.000,0.00
1755577694.903,0.000,0.000,0.00
1755577695.204,0.000,0.000,0.00
1755577695.504,0.000,0.000,0.00
1755577695.803,0.000,0.000,0.00
1755577696.103,0.000,0.000,0.00
1755577696.403,0.000,0.000,0.00
1755577696.704,0.000,0.000,0.00
1755577697.004,0.000,0.000,0.00
1755577697.304,0.000,0.000,0.00
1755577697.604,0.000,0.000,0.00
1755577697.903,0.000,0.000,0.00
1755577698.204,0.000,0.000,0.00
1755577698.504,0.000,0.000,0.00
1755577698.804,0.000,0.000,0.00
1755577699.103,0.000,0.000,0.00
1755577699.404,0.000,0.000,0.00
1755577699.704,0.000,0.000,0.00
1755577700.004,0.000,0.000,0.00
1755577700.304,0.000,0.000,0.00
1755577700.603,0.000,0.000,0.00
1755577700.904,0.000,0.000,0.00
1755577701.204,0.000,0.000,0.00
1755577701.503,0.000,0.000,0.00
1755577701.804,0.000,0.000,0.00
1755577702.103,0.000,0.000,0.00
1755577702.404,0.000,0.000,0.00
1755577702.703,0.000,0.000,0.00
1755577703.003,0.000,0.000,0.00
1755577703.304,0.000,0.000,0.00
1755577703.603,0.000,0.000,0.00
1755577703.904,0.000,0.000,0.00
1755577704.203,0.000,0.000,0.00
1755577704.504,0.000,0.000,0.00
1755577704.804,0.000,0.000,0.00
1755577705.103,0.000,0.000,0.00
1755577705.404,0.000,0.000,0.00
1755577705.703,0.000,0.000,0.00
1755577706.004,0.000,0.000,0.00
1755577706.304,0.000,0.000,0.00
1755577706.603,0.000,0.000,0.00
1755577706.904,0.000,0.000,0.00
1755577707.203,0.000,0.000,0.00
