time,x[m],y[m],theta[deg]
1755578726.246,0.000,0.000,0.00
1755578726.546,0.000,0.000,0.00
1755578726.846,0.000,0.000,0.00
1755578727.146,0.000,0.000,0.00
1755578727.446,0.000,0.000,0.00
1755578727.747,0.000,0.000,0.00
1755578728.046,0.000,0.000,0.00
1755578728.346,0.000,0.000,0.00
1755578728.646,0.000,0.000,0.00
1755578728.946,0.000,0.000,0.00
1755578729.246,0.000,0.000,0.00
1755578729.546,0.000,0.000,0.00
1755578729.846,0.000,0.000,0.00
1755578730.146,0.000,0.000,0.00
1755578730.446,0.000,0.000,0.00
1755578730.746,0.000,0.000,0.00
1755578731.046,0.000,0.000,0.00
