time,x,y,yaw_deg
0.3,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.9,0.0,0.0,0.0
1.2,0.0,0.0,0.0
1.5,0.0,0.0,0.0
1.8,0.0,0.0,0.0
2.1,0.0,0.0,0.0
2.4,0.0,0.0,0.0
2.7,0.0,0.0,0.0
3.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.9,0.0,0.0,0.0
4.2,0.0,0.0,0.0
4.5,0.0,0.0,0.0
